"Section","Item","Value / Formula","Detail — where logic went right or WRONG"
"=== A. TRADE SNAPSHOT ===","","",""
"Trade","Instrument","FINNIFTY (^CNXFIN) 26500 PE (ITM)","Index option, monthly expiry (dte 29)"
"Trade","Direction / Confidence","Bearish  |  conf 76  |  Direction Score -68","4-layer engine call"
"Trade","4-Layer breakdown","struct -30 / trend -16.75 / deriv -10 / momo -11.25","ALL FOUR layers bearish + Structure MAXED at -30 (fully bearish)"
"Trade","Entry premium / spot","476.50  |  spot 26101.15","Entry epoch 1788156017"
"Trade","Stop (premium / spot)","433.72  |  spot 26182.08","Spot stop only +80.9 pts = +0.31% away"
"Trade","Target (premium / spot)","537.62  |  spot 25985.53","Spot target -115.6 pts = -0.44% away"
"Trade","Quantity","60 (1 lot)  =  entry value 28,590","28,590 / 40,000 pool = 71% of the pool in ONE trade"
"Trade","Exit","premium 433.72 at spot 26185.05  (reason: STOP)","Held ~24.5 min; spot rose +83.9 pts (+0.32%) AGAINST the PE"
"Trade","Peak premium","476.50  (= entry price)","NEVER went green - market reversed UP the moment we entered"
"Trade","Result","NET -2,881.89  (gross -2,566.80, costs 315.09)","pnlPct -10.08%  |  captured -78.6% of potential"
"","","",""
"=== B. ENGINE FORMULA (this trade's numbers) ===","","",""
"1. Entry gate","conf >= FLOOR","76 >= 65  -> PASS","High-conviction floor"
"1. Entry gate","near-expiry rule","dte 29 > 1  -> not applied","(dte<=1 would need conf>=80)"
"1. Entry gate","regime veto","Range -> block (positional)","Low-ADX chop day; see WRONG #2"
"1. Entry gate","gross R:R","(537.62-476.5)/(476.5-433.72) = 61.12/42.78 = 1.43","Structural ~1.43 gross"
"2. Sizing","lossPerLot","(476.5-433.72) x 60 = 2,566.80","Risk per 1 lot"
"2. Sizing","confScale","clamp(76/75, 0.6, 1.3) = 1.013","Scales budget by conviction"
"2. Sizing","budget","40,000 x 1% x 1.013 = 405.3","RISK_PER_TRADE = 1% of pool"
"2. Sizing","lots (raw)","floor(405.3 / 2,566.80) = 0","1% budget buys ZERO lots (risk too big)"
"2. Sizing","min-1-lot rule","force 1 lot IF lossPerLot <= pool x MAX_SINGLE_LOT_LOSS_PCT","THIS is what put the trade on - see section C"
"3. Net-cost R:R","costWin / costLoss","348.84 / 315.08","Friction: 0.4% slip + brokerage/STT/exch/stamp"
"3. Net-cost R:R","netReward","(537.62-476.5)x60 - 348.84 = 3,318.36",""
"3. Net-cost R:R","netRisk","(476.5-433.72)x60 + 315.08 = 2,881.88","= exactly the realised loss"
"3. Net-cost R:R","netRR","3,318.36 / 2,881.88 = 1.15","EXACTLY 1.15 - see section C (SMOKING GUN)"
"4. Exit rules","hard stop","spot >= spotStop 26182.08 -> exit at premiumStop","Fired correctly at 26185.05"
"4. Exit rules","target / trail / stall / decay","target 537.62; trail arm +25% give +10%; stall 30min<25% progress; decay -20%","None reached - stop hit first"
"","","",""
"=== C. WOULD IT TRADE?  OLD config (at loss) vs NEW config (now) ===","","",""
"Gate: Net R:R","OLD floor 1.15","1.15 >= 1.15  ->  PASS (traded)","Cleared by a hair"
"Gate: Net R:R","NEW floor 1.30","1.15 >= 1.30  ->  BLOCK","Now rejected"
"Gate: Single-lot cap","OLD 10% (=4,000)","lossPerLot 2,566.8 <= 4,000  ->  1 lot forced ON","This is why it traded"
"Gate: Single-lot cap","NEW 6% (=2,400)","lossPerLot 2,566.8 > 2,400  ->  0 lots -> BLOCK","Now rejected"
"Gate: Over-extension","NEW guard","skip if today move >= 65% of daily ATR","Struct maxed (-30) = mature move -> likely BLOCK"
"Gate: Base timeframe","NEW 1h base","1h Structure reads ~-10 (not -30) -> conf ~55-62","Below 65 floor -> likely BLOCK"
"","","",""
"=== D. WHERE THE LOGIC WENT WRONG (ranked) ===","","",""
"WRONG #1  ENTRY TIMING (root cause)","Unanimous 4-layer bearish fired on a MATURE down-move","Structure MAXED -30, all layers agree","Peak = entry: market reversed UP instantly. The signals CONFIRMED a move that was already over. This is late/exhausted entry."
"WRONG #2  REGIME","Directional option BUY on a low-ADX / Range day","ADX ~17","Chop + theta punish directional buying; no follow-through -> whipsaw stop"
"WRONG #3  SIZING / CONCENTRATION","1 forced lot = 28,590 = 71% of pool; risk 6.4% gross / 7.2% net","min-1-lot rule under the old 10% cap","6x the intended 1% risk budget in a single position"
"WRONG #4  R:R TOO THIN","netRR was exactly 1.15","reward barely > risk after costs","One adverse 0.3% tick wipes a 1.15 edge"
"NOT WRONG  EXIT","Stop fired correctly, cut at -10%","evalOptionExit hard-stop","Exit logic did its job - it limited the damage. Failure was at ENTRY, not exit."
"","","",""
"=== E. WHAT NOW CATCHES THIS TRADE ===","","",""
"Fix 1","R:R floor 1.15 -> 1.30","BLOCKS (netRR 1.15)","Applied"
"Fix 2","Single-lot cap 10% -> 6%","BLOCKS (lossPerLot 2,566 > 2,400)","Applied"
"Fix 3","Over-extension guard (65% ATR)","Skips late/exhausted entries","Applied"
"Fix 4","1h base timeframe (15m fallback)","Damps Structure -30 -> -10, conf below floor","Applied"
"Summary","This exact trade is now blocked at 3-4 independent gates","","The loss traced to ENTRY timing + regime + oversizing, NOT the exit."
